tipo_polinico,granos_de_polen_x_metro_cubico,fecha
Pl?tano de paseo,0.0,2021-01-01
Pl?tano de paseo,0.0,2021-01-02
Pl?tano de paseo,1.0,2021-01-03
Pl?tano de paseo,0.0,2021-01-04
Pl?tano de paseo,0.0,2021-01-05
Pl?tano de paseo,0.0,2021-01-06
Pl?tano de paseo,0.0,2021-01-07
Pl?tano de paseo,0.0,2021-01-08
Pl?tano de paseo,0.0,2021-01-09
Pl?tano de paseo,0.0,2021-01-10
Pl?tano de paseo,,2021-01-11
Pl?tano de paseo,,2021-01-12
Pl?tano de paseo,,2021-01-13
Pl?tano de paseo,,2021-01-14
Pl?tano de paseo,,2021-01-15
Pl?tano de paseo,,2021-01-16
Pl?tano de paseo,,2021-01-17
Pl?tano de paseo,,2021-01-18
Pl?tano de paseo,,2021-01-19
Pl?tano de paseo,,2021-01-20
Pl?tano de paseo,,2021-01-21
Pl?tano de paseo,,2021-01-22
Pl?tano de paseo,,2021-01-23
Pl?tano de paseo,,2021-01-24
Pl?tano de paseo,0.0,2021-01-25
Pl?tano de paseo,0.0,2021-01-26
Pl?tano de paseo,0.0,2021-01-27
Pl?tano de paseo,0.0,2021-01-28
Pl?tano de paseo,0.0,2021-01-29
Pl?tano de paseo,0.0,2021-01-30
Pl?tano de paseo,0.0,2021-01-31
Pl?tano de paseo,0.0,2021-02-01
Pl?tano de paseo,0.0,2021-02-02
Pl?tano de paseo,0.0,2021-02-03
Pl?tano de paseo,0.0,2021-02-04
Pl?tano de paseo,0.0,2021-02-05
Pl?tano de paseo,0.0,2021-02-06
Pl?tano de paseo,0.0,2021-02-07
Pl?tano de paseo,0.0,2021-02-08
Pl?tano de paseo,0.0,2021-02-09
Pl?tano de paseo,0.0,2021-02-10
Pl?tano de paseo,0.0,2021-02-11
Pl?tano de paseo,1.0,2021-02-12
Pl?tano de paseo,0.0,2021-02-13
Pl?tano de paseo,0.0,2021-02-14
Pl?tano de paseo,1.0,2021-02-15
Pl?tano de paseo,0.0,2021-02-16
Pl?tano de paseo,0.0,2021-02-17
Pl?tano de paseo,0.0,2021-02-18
Pl?tano de paseo,0.0,2021-02-19
Pl?tano de paseo,0.0,2021-02-20
Pl?tano de paseo,0.0,2021-02-21
Pl?tano de paseo,0.0,2021-02-22
Pl?tano de paseo,0.0,2021-02-23
Pl?tano de paseo,0.0,2021-02-24
Pl?tano de paseo,0.0,2021-02-25
Pl?tano de paseo,0.0,2021-02-26
Pl?tano de paseo,0.0,2021-02-27
Pl?tano de paseo,0.0,2021-02-28
Pl?tano de paseo,0.0,2021-03-01
Pl?tano de paseo,1.0,2021-03-02
Pl?tano de paseo,1.0,2021-03-03
Pl?tano de paseo,0.0,2021-03-04
Pl?tano de paseo,6.0,2021-03-05
Pl?tano de paseo,15.0,2021-03-06
Pl?tano de paseo,7.0,2021-03-07
Pl?tano de paseo,11.0,2021-03-08
Pl?tano de paseo,58.0,2021-03-09
Pl?tano de paseo,77.0,2021-03-10
Pl?tano de paseo,190.0,2021-03-11
Pl?tano de paseo,139.0,2021-03-12
Pl?tano de paseo,191.0,2021-03-13
Pl?tano de paseo,575.0,2021-03-14
Pl?tano de paseo,833.0,2021-03-15
Pl?tano de paseo,2100.0,2021-03-16
Pl?tano de paseo,1900.0,2021-03-17
Pl?tano de paseo,821.0,2021-03-18
Pl?tano de paseo,812.0,2021-03-19
Pl?tano de paseo,879.0,2021-03-20
Pl?tano de paseo,662.0,2021-03-21
Pl?tano de paseo,1162.0,2021-03-22
Pl?tano de paseo,2034.0,2021-03-23
Pl?tano de paseo,3212.0,2021-03-24
Pl?tano de paseo,2122.0,2021-03-25
Pl?tano de paseo,2491.0,2021-03-26
Pl?tano de paseo,1627.0,2021-03-27
Pl?tano de paseo,1658.0,2021-03-28
Pl?tano de paseo,2670.0,2021-03-29
Pl?tano de paseo,1887.0,2021-03-30
Pl?tano de paseo,1963.0,2021-03-31
Pl?tano de paseo,1844.0,2021-04-01
Pl?tano de paseo,509.0,2021-04-02
Pl?tano de paseo,320.0,2021-04-03
Pl?tano de paseo,232.0,2021-04-04
Pl?tano de paseo,288.0,2021-04-05
Pl?tano de paseo,333.0,2021-04-06
Pl?tano de paseo,264.0,2021-04-07
Pl?tano de paseo,66.0,2021-04-08
Pl?tano de paseo,100.0,2021-04-09
Pl?tano de paseo,81.0,2021-04-10
Pl?tano de paseo,38.0,2021-04-11
Pl?tano de paseo,46.0,2021-04-12
Pl?tano de paseo,54.0,2021-04-13
Pl?tano de paseo,40.0,2021-04-14
Pl?tano de paseo,29.0,2021-04-15
Pl?tano de paseo,104.0,2021-04-16
Pl?tano de paseo,36.0,2021-04-17
Pl?tano de paseo,3.0,2021-04-18
Pl?tano de paseo,46.0,2021-04-19
Pl?tano de paseo,20.0,2021-04-20
Pl?tano de paseo,23.0,2021-04-21
Pl?tano de paseo,4.0,2021-04-22
Pl?tano de paseo,24.0,2021-04-23
Pl?tano de paseo,22.0,2021-04-24
Pl?tano de paseo,3.0,2021-04-25
Pl?tano de paseo,5.0,2021-04-26
Pl?tano de paseo,7.0,2021-04-27
Pl?tano de paseo,4.0,2021-04-28
Pl?tano de paseo,8.0,2021-04-29
Pl?tano de paseo,3.0,2021-04-30
Pl?tano de paseo,8.0,2021-05-01
Pl?tano de paseo,7.0,2021-05-02
Pl?tano de paseo,6.0,2021-05-03
Pl?tano de paseo,1.0,2021-05-04
Pl?tano de paseo,1.0,2021-05-05
Pl?tano de paseo,0.0,2021-05-06
Pl?tano de paseo,1.0,2021-05-07
Pl?tano de paseo,0.0,2021-05-08
Pl?tano de paseo,11.0,2021-05-09
Pl?tano de paseo,6.0,2021-05-10
Pl?tano de paseo,0.0,2021-05-11
Pl?tano de paseo,3.0,2021-05-12
Pl?tano de paseo,3.0,2021-05-13
Pl?tano de paseo,0.0,2021-05-14
Pl?tano de paseo,3.0,2021-05-15
Pl?tano de paseo,5.0,2021-05-16
Pl?tano de paseo,0.0,2021-05-17
Pl?tano de paseo,6.0,2021-05-18
Pl?tano de paseo,2.0,2021-05-19
Pl?tano de paseo,2.0,2021-05-20
Pl?tano de paseo,2.0,2021-05-21
Pl?tano de paseo,0.0,2021-05-22
Pl?tano de paseo,1.0,2021-05-23
Pl?tano de paseo,0.0,2021-05-24
Pl?tano de paseo,1.0,2021-05-25
Pl?tano de paseo,2.0,2021-05-26
Pl?tano de paseo,0.0,2021-05-27
Pl?tano de paseo,0.0,2021-05-28
Pl?tano de paseo,2.0,2021-05-29
Pl?tano de paseo,2.0,2021-05-30
Pl?tano de paseo,0.0,2021-05-31
Pl?tano de paseo,1.0,2021-06-01
Pl?tano de paseo,0.0,2021-06-02
Pl?tano de paseo,5.0,2021-06-03
Pl?tano de paseo,2.0,2021-06-04
Pl?tano de paseo,5.0,2021-06-05
Pl?tano de paseo,3.0,2021-06-06
Pl?tano de paseo,1.0,2021-06-07
Pl?tano de paseo,,2021-06-08
Pl?tano de paseo,2.0,2021-06-09
Pl?tano de paseo,1.0,2021-06-10
Pl?tano de paseo,8.0,2021-06-11
Pl?tano de paseo,2.0,2021-06-12
Pl?tano de paseo,4.0,2021-06-13
Pl?tano de paseo,2.0,2021-06-14
Pl?tano de paseo,1.0,2021-06-15
Pl?tano de paseo,1.0,2021-06-16
Pl?tano de paseo,0.0,2021-06-17
Pl?tano de paseo,2.0,2021-06-18
Pl?tano de paseo,0.0,2021-06-19
Pl?tano de paseo,0.0,2021-06-20
Pl?tano de paseo,1.0,2021-06-21
Pl?tano de paseo,0.0,2021-06-22
Pl?tano de paseo,0.0,2021-06-23
Pl?tano de paseo,0.0,2021-06-24
Pl?tano de paseo,1.0,2021-06-25
Pl?tano de paseo,2.0,2021-06-26
Pl?tano de paseo,3.0,2021-06-27
Pl?tano de paseo,1.0,2021-06-28
Pl?tano de paseo,,2021-06-29
Pl?tano de paseo,0.0,2021-06-30
Pl?tano de paseo,4.0,2021-07-01
Pl?tano de paseo,0.0,2021-07-02
Pl?tano de paseo,0.0,2021-07-03
Pl?tano de paseo,5.0,2021-07-04
Pl?tano de paseo,0.0,2021-07-05
Pl?tano de paseo,0.0,2021-07-06
Pl?tano de paseo,0.0,2021-07-07
Pl?tano de paseo,2.0,2021-07-08
Pl?tano de paseo,2.0,2021-07-09
Pl?tano de paseo,1.0,2021-07-10
Pl?tano de paseo,3.0,2021-07-11
Pl?tano de paseo,1.0,2021-07-12
Pl?tano de paseo,0.0,2021-07-13
Pl?tano de paseo,0.0,2021-07-14
Pl?tano de paseo,1.0,2021-07-15
Pl?tano de paseo,0.0,2021-07-16
Pl?tano de paseo,1.0,2021-07-17
Pl?tano de paseo,4.0,2021-07-18
Pl?tano de paseo,0.0,2021-07-19
Pl?tano de paseo,0.0,2021-07-20
Pl?tano de paseo,1.0,2021-07-21
Pl?tano de paseo,0.0,2021-07-22
Pl?tano de paseo,1.0,2021-07-23
Pl?tano de paseo,1.0,2021-07-24
Pl?tano de paseo,2.0,2021-07-25
Pl?tano de paseo,0.0,2021-07-26
Pl?tano de paseo,1.0,2021-07-27
Pl?tano de paseo,0.0,2021-07-28
Pl?tano de paseo,0.0,2021-07-29
Pl?tano de paseo,1.0,2021-07-30
Pl?tano de paseo,3.0,2021-07-31
Pl?tano de paseo,0.0,2021-08-01
Pl?tano de paseo,0.0,2021-08-02
Pl?tano de paseo,0.0,2021-08-03
Pl?tano de paseo,0.0,2021-08-04
Pl?tano de paseo,0.0,2021-08-05
Pl?tano de paseo,0.0,2021-08-06
Pl?tano de paseo,0.0,2021-08-07
Pl?tano de paseo,0.0,2021-08-08
Pl?tano de paseo,,2021-08-09
Pl?tano de paseo,,2021-08-10
Pl?tano de paseo,0.0,2021-08-11
Pl?tano de paseo,0.0,2021-08-12
Pl?tano de paseo,4.0,2021-08-13
Pl?tano de paseo,0.0,2021-08-14
Pl?tano de paseo,2.0,2021-08-15
Pl?tano de paseo,2.0,2021-08-16
Pl?tano de paseo,1.0,2021-08-17
Pl?tano de paseo,,2021-08-18
Pl?tano de paseo,,2021-08-19
Pl?tano de paseo,1.0,2021-08-20
Pl?tano de paseo,0.0,2021-08-21
Pl?tano de paseo,0.0,2021-08-22
Pl?tano de paseo,0.0,2021-08-23
Pl?tano de paseo,1.0,2021-08-24
Pl?tano de paseo,0.0,2021-08-25
Pl?tano de paseo,1.0,2021-08-26
Pl?tano de paseo,3.0,2021-08-27
Pl?tano de paseo,1.0,2021-08-28
Pl?tano de paseo,0.0,2021-08-29
Pl?tano de paseo,,2021-08-30
Pl?tano de paseo,,2021-08-31
Pl?tano de paseo,0.0,2021-09-01
Pl?tano de paseo,1.0,2021-09-02
Pl?tano de paseo,0.0,2021-09-03
Pl?tano de paseo,2.0,2021-09-04
Pl?tano de paseo,0.0,2021-09-05
Pl?tano de paseo,5.0,2021-09-06
Pl?tano de paseo,1.0,2021-09-07
Pl?tano de paseo,2.0,2021-09-08
Pl?tano de paseo,0.0,2021-09-09
Pl?tano de paseo,4.0,2021-09-10
Pl?tano de paseo,2.0,2021-09-11
Pl?tano de paseo,0.0,2021-09-12
Pl?tano de paseo,10.0,2021-09-13
Pl?tano de paseo,3.0,2021-09-14
Pl?tano de paseo,1.0,2021-09-15
Pl?tano de paseo,3.0,2021-09-16
Pl?tano de paseo,13.0,2021-09-17
Pl?tano de paseo,32.0,2021-09-18
Pl?tano de paseo,12.0,2021-09-19
Pl?tano de paseo,28.0,2021-09-20
Pl?tano de paseo,9.0,2021-09-21
Pl?tano de paseo,7.0,2021-09-22
Pl?tano de paseo,8.0,2021-09-23
Pl?tano de paseo,2.0,2021-09-24
Pl?tano de paseo,4.0,2021-09-25
Pl?tano de paseo,1.0,2021-09-26
Pl?tano de paseo,1.0,2021-09-27
Pl?tano de paseo,1.0,2021-09-28
Pl?tano de paseo,1.0,2021-09-29
Pl?tano de paseo,2.0,2021-09-30
Pl?tano de paseo,1.0,2021-10-01
Pl?tano de paseo,1.0,2021-10-02
Pl?tano de paseo,0.0,2021-10-03
Pl?tano de paseo,0.0,2021-10-04
Pl?tano de paseo,2.0,2021-10-05
Pl?tano de paseo,3.0,2021-10-06
Pl?tano de paseo,0.0,2021-10-07
Pl?tano de paseo,1.0,2021-10-08
Pl?tano de paseo,0.0,2021-10-09
Pl?tano de paseo,5.0,2021-10-10
Pl?tano de paseo,,2021-10-11
Pl?tano de paseo,,2021-10-12
Pl?tano de paseo,2.0,2021-10-13
Pl?tano de paseo,1.0,2021-10-14
Pl?tano de paseo,,2021-10-15
Pl?tano de paseo,,2021-10-16
Pl?tano de paseo,,2021-10-17
Pl?tano de paseo,0.0,2021-10-18
Pl?tano de paseo,1.0,2021-10-19
Pl?tano de paseo,1.0,2021-10-20
Pl?tano de paseo,0.0,2021-10-21
Pl?tano de paseo,1.0,2021-10-22
Pl?tano de paseo,1.0,2021-10-23
Pl?tano de paseo,1.0,2021-10-24
Pl?tano de paseo,0.0,2021-10-25
Pl?tano de paseo,0.0,2021-10-26
Pl?tano de paseo,1.0,2021-10-27
Pl?tano de paseo,0.0,2021-10-28
Pl?tano de paseo,1.0,2021-10-29
Pl?tano de paseo,1.0,2021-10-30
Pl?tano de paseo,0.0,2021-10-31
Pl?tano de paseo,0.0,2021-11-01
Pl?tano de paseo,0.0,2021-11-02
Pl?tano de paseo,0.0,2021-11-03
Pl?tano de paseo,0.0,2021-11-04
Pl?tano de paseo,0.0,2021-11-05
Pl?tano de paseo,0.0,2021-11-06
Pl?tano de paseo,0.0,2021-11-07
Pl?tano de paseo,0.0,2021-11-08
Pl?tano de paseo,0.0,2021-11-09
Pl?tano de paseo,0.0,2021-11-10
Pl?tano de paseo,0.0,2021-11-11
Pl?tano de paseo,0.0,2021-11-12
Pl?tano de paseo,0.0,2021-11-13
Pl?tano de paseo,0.0,2021-11-14
Pl?tano de paseo,0.0,2021-11-15
Pl?tano de paseo,0.0,2021-11-16
Pl?tano de paseo,0.0,2021-11-17
Pl?tano de paseo,0.0,2021-11-18
Pl?tano de paseo,0.0,2021-11-19
Pl?tano de paseo,0.0,2021-11-20
Pl?tano de paseo,0.0,2021-11-21
Pl?tano de paseo,0.0,2021-11-22
Pl?tano de paseo,0.0,2021-11-23
Pl?tano de paseo,0.0,2021-11-24
Pl?tano de paseo,1.0,2021-11-25
Pl?tano de paseo,0.0,2021-11-26
Pl?tano de paseo,0.0,2021-11-27
Pl?tano de paseo,2.0,2021-11-28
Pl?tano de paseo,0.0,2021-11-29
Pl?tano de paseo,0.0,2021-11-30
Pl?tano de paseo,1.0,2021-12-01
Pl?tano de paseo,1.0,2021-12-02
Pl?tano de paseo,0.0,2021-12-03
Pl?tano de paseo,0.0,2021-12-04
Pl?tano de paseo,,2021-12-05
Pl?tano de paseo,,2021-12-06
Pl?tano de paseo,,2021-12-07
Pl?tano de paseo,,2021-12-08
Pl?tano de paseo,,2021-12-09
Pl?tano de paseo,,2021-12-10
Pl?tano de paseo,,2021-12-11
Pl?tano de paseo,,2021-12-12
Pl?tano de paseo,0.0,2021-12-13
Pl?tano de paseo,0.0,2021-12-14
Pl?tano de paseo,0.0,2021-12-15
Pl?tano de paseo,0.0,2021-12-16
Pl?tano de paseo,,2021-12-17
Pl?tano de paseo,,2021-12-18
Pl?tano de paseo,,2021-12-19
Pl?tano de paseo,1.0,2021-12-20
Pl?tano de paseo,0.0,2021-12-21
Pl?tano de paseo,2.0,2021-12-22
Pl?tano de paseo,0.0,2021-12-23
Pl?tano de paseo,0.0,2021-12-24
Pl?tano de paseo,0.0,2021-12-25
Pl?tano de paseo,0.0,2021-12-26
Pl?tano de paseo,0.0,2021-12-27
Pl?tano de paseo,0.0,2021-12-28
Pl?tano de paseo,0.0,2021-12-29
Pl?tano de paseo,,2021-12-30
Pl?tano de paseo,,2021-12-31
Pl?tano de paseo,,2022-01-01
Pl?tano de paseo,,2022-01-02
Pl?tano de paseo,,2022-01-03
Pl?tano de paseo,,2022-01-04
Pl?tano de paseo,,2022-01-05
Pl?tano de paseo,,2022-01-06
Pl?tano de paseo,,2022-01-07
Pl?tano de paseo,,2022-01-08
Pl?tano de paseo,,2022-01-09
Pl?tano de paseo,,2022-01-10
Pl?tano de paseo,,2022-01-11
Pl?tano de paseo,,2022-01-12
Pl?tano de paseo,,2022-01-13
Pl?tano de paseo,,2022-01-14
Pl?tano de paseo,,2022-01-15
Pl?tano de paseo,,2022-01-16
Pl?tano de paseo,,2022-01-17
Pl?tano de paseo,,2022-01-18
Pl?tano de paseo,,2022-01-19
Pl?tano de paseo,,2022-01-20
Pl?tano de paseo,,2022-01-21
Pl?tano de paseo,,2022-01-22
Pl?tano de paseo,,2022-01-23
Pl?tano de paseo,,2022-01-24
Pl?tano de paseo,,2022-01-25
Pl?tano de paseo,,2022-01-26
Pl?tano de paseo,,2022-01-27
Pl?tano de paseo,,2022-01-28
Pl?tano de paseo,,2022-01-29
Pl?tano de paseo,,2022-01-30
Pl?tano de paseo,,2022-01-31
Pl?tano de paseo,,2022-02-01
Pl?tano de paseo,,2022-02-02
Pl?tano de paseo,,2022-02-03
Pl?tano de paseo,,2022-02-04
Pl?tano de paseo,0.0,2022-02-05
Pl?tano de paseo,0.0,2022-02-06
Pl?tano de paseo,2.0,2022-02-07
Pl?tano de paseo,0.0,2022-02-08
Pl?tano de paseo,0.0,2022-02-09
Pl?tano de paseo,0.0,2022-02-10
Pl?tano de paseo,0.0,2022-02-11
Pl?tano de paseo,0.0,2022-02-12
Pl?tano de paseo,0.0,2022-02-13
Pl?tano de paseo,1.0,2022-02-14
Pl?tano de paseo,0.0,2022-02-15
Pl?tano de paseo,0.0,2022-02-16
Pl?tano de paseo,0.0,2022-02-17
Pl?tano de paseo,2.0,2022-02-18
Pl?tano de paseo,1.0,2022-02-19
Pl?tano de paseo,0.0,2022-02-20
Pl?tano de paseo,1.0,2022-02-21
Pl?tano de paseo,0.0,2022-02-22
Pl?tano de paseo,0.0,2022-02-23
Pl?tano de paseo,0.0,2022-02-24
Pl?tano de paseo,1.0,2022-02-25
Pl?tano de paseo,0.0,2022-02-26
Pl?tano de paseo,0.0,2022-02-27
Pl?tano de paseo,0.0,2022-02-28
Pl?tano de paseo,0.0,2022-03-01
Pl?tano de paseo,1.0,2022-03-02
Pl?tano de paseo,0.0,2022-03-03
Pl?tano de paseo,0.0,2022-03-04
Pl?tano de paseo,1.0,2022-03-05
Pl?tano de paseo,8.0,2022-03-06
Pl?tano de paseo,0.0,2022-03-07
Pl?tano de paseo,,2022-03-08
Pl?tano de paseo,2.0,2022-03-09
Pl?tano de paseo,6.0,2022-03-10
Pl?tano de paseo,4.0,2022-03-11
Pl?tano de paseo,8.0,2022-03-12
Pl?tano de paseo,8.0,2022-03-13
Pl?tano de paseo,48.0,2022-03-14
Pl?tano de paseo,25.0,2022-03-15
Pl?tano de paseo,394.0,2022-03-16
Pl?tano de paseo,472.0,2022-03-17
Pl?tano de paseo,386.0,2022-03-18
Pl?tano de paseo,938.0,2022-03-19
Pl?tano de paseo,5008.0,2022-03-20
Pl?tano de paseo,977.0,2022-03-21
Pl?tano de paseo,1949.0,2022-03-22
Pl?tano de paseo,1152.0,2022-03-23
Pl?tano de paseo,553.0,2022-03-24
Pl?tano de paseo,642.0,2022-03-25
Pl?tano de paseo,1242.0,2022-03-26
Pl?tano de paseo,3882.0,2022-03-27
Pl?tano de paseo,2984.0,2022-03-28
Pl?tano de paseo,3541.0,2022-03-29
Pl?tano de paseo,1394.0,2022-03-30
Pl?tano de paseo,1621.0,2022-03-31
Pl?tano de paseo,1161.0,2022-04-01
Pl?tano de paseo,313.0,2022-04-02
Pl?tano de paseo,381.0,2022-04-03
Pl?tano de paseo,346.0,2022-04-04
Pl?tano de paseo,158.0,2022-04-05
Pl?tano de paseo,565.0,2022-04-06
Pl?tano de paseo,593.0,2022-04-07
Pl?tano de paseo,365.0,2022-04-08
Pl?tano de paseo,244.0,2022-04-09
Pl?tano de paseo,1981.0,2022-04-10
Pl?tano de paseo,1634.0,2022-04-11
Pl?tano de paseo,341.0,2022-04-12
Pl?tano de paseo,,2022-04-13
Pl?tano de paseo,,2022-04-14
Pl?tano de paseo,,2022-04-15
Pl?tano de paseo,,2022-04-16
Pl?tano de paseo,,2022-04-17
Pl?tano de paseo,,2022-04-18
Pl?tano de paseo,,2022-04-19
Pl?tano de paseo,210.0,2022-04-20
Pl?tano de paseo,35.0,2022-04-21
Pl?tano de paseo,38.0,2022-04-22
Pl?tano de paseo,52.0,2022-04-23
Pl?tano de paseo,36.0,2022-04-24
Pl?tano de paseo,55.0,2022-04-25
Pl?tano de paseo,83.0,2022-04-26
Pl?tano de paseo,21.0,2022-04-27
Pl?tano de paseo,21.0,2022-04-28
Pl?tano de paseo,26.0,2022-04-29
Pl?tano de paseo,17.0,2022-04-30
Pl?tano de paseo,24.0,2022-05-01
Pl?tano de paseo,15.0,2022-05-02
Pl?tano de paseo,30.0,2022-05-03
Pl?tano de paseo,9.0,2022-05-04
Pl?tano de paseo,,2022-05-05
Pl?tano de paseo,4.0,2022-05-06
Pl?tano de paseo,8.0,2022-05-07
Pl?tano de paseo,14.0,2022-05-08
Pl?tano de paseo,9.0,2022-05-09
Pl?tano de paseo,6.0,2022-05-10
Pl?tano de paseo,5.0,2022-05-11
Pl?tano de paseo,4.0,2022-05-12
Pl?tano de paseo,4.0,2022-05-13
Pl?tano de paseo,22.0,2022-05-14
Pl?tano de paseo,18.0,2022-05-15
Pl?tano de paseo,6.0,2022-05-16
Pl?tano de paseo,4.0,2022-05-17
Pl?tano de paseo,5.0,2022-05-18
Pl?tano de paseo,25.0,2022-05-19
Pl?tano de paseo,13.0,2022-05-20
Pl?tano de paseo,25.0,2022-05-21
Pl?tano de paseo,19.0,2022-05-22
Pl?tano de paseo,6.0,2022-05-23
Pl?tano de paseo,17.0,2022-05-24
Pl?tano de paseo,,2022-05-25
Pl?tano de paseo,6.0,2022-05-26
Pl?tano de paseo,5.0,2022-05-27
Pl?tano de paseo,15.0,2022-05-28
Pl?tano de paseo,11.0,2022-05-29
Pl?tano de paseo,15.0,2022-05-30
Pl?tano de paseo,12.0,2022-05-31
Pl?tano de paseo,7.0,2022-06-01
Pl?tano de paseo,8.0,2022-06-02
Pl?tano de paseo,0.0,2022-06-03
Pl?tano de paseo,4.0,2022-06-04
Pl?tano de paseo,1.0,2022-06-05
Pl?tano de paseo,3.0,2022-06-06
Pl?tano de paseo,9.0,2022-06-07
Pl?tano de paseo,14.0,2022-06-08
Pl?tano de paseo,9.0,2022-06-09
Pl?tano de paseo,8.0,2022-06-10
Pl?tano de paseo,7.0,2022-06-11
Pl?tano de paseo,7.0,2022-06-12
Pl?tano de paseo,6.0,2022-06-13
Pl?tano de paseo,7.0,2022-06-14
Pl?tano de paseo,11.0,2022-06-15
Pl?tano de paseo,7.0,2022-06-16
Pl?tano de paseo,16.0,2022-06-17
Pl?tano de paseo,15.0,2022-06-18
Pl?tano de paseo,7.0,2022-06-19
Pl?tano de paseo,10.0,2022-06-20
Pl?tano de paseo,12.0,2022-06-21
Pl?tano de paseo,5.0,2022-06-22
Pl?tano de paseo,4.0,2022-06-23
Pl?tano de paseo,1.0,2022-06-24
Pl?tano de paseo,9.0,2022-06-25
Pl?tano de paseo,4.0,2022-06-26
Pl?tano de paseo,1.0,2022-06-27
Pl?tano de paseo,6.0,2022-06-28
Pl?tano de paseo,12.0,2022-06-29
Pl?tano de paseo,12.0,2022-06-30
Pl?tano de paseo,10.0,2022-07-01
Pl?tano de paseo,4.0,2022-07-02
Pl?tano de paseo,2.0,2022-07-03
Pl?tano de paseo,2.0,2022-07-04
Pl?tano de paseo,6.0,2022-07-05
Pl?tano de paseo,3.0,2022-07-06
Pl?tano de paseo,6.0,2022-07-07
Pl?tano de paseo,4.0,2022-07-08
Pl?tano de paseo,4.0,2022-07-09
Pl?tano de paseo,4.0,2022-07-10
Pl?tano de paseo,2.0,2022-07-11
Pl?tano de paseo,0.0,2022-07-12
Pl?tano de paseo,0.0,2022-07-13
Pl?tano de paseo,4.0,2022-07-14
Pl?tano de paseo,3.0,2022-07-15
Pl?tano de paseo,2.0,2022-07-16
Pl?tano de paseo,2.0,2022-07-17
Pl?tano de paseo,4.0,2022-07-18
Pl?tano de paseo,1.0,2022-07-19
Pl?tano de paseo,3.0,2022-07-20
Pl?tano de paseo,2.0,2022-07-21
Pl?tano de paseo,5.0,2022-07-22
Pl?tano de paseo,7.0,2022-07-23
Pl?tano de paseo,5.0,2022-07-24
Pl?tano de paseo,1.0,2022-07-25
Pl?tano de paseo,6.0,2022-07-26
Pl?tano de paseo,0.0,2022-07-27
Pl?tano de paseo,0.0,2022-07-28
Pl?tano de paseo,,2022-07-29
Pl?tano de paseo,2.0,2022-07-30
Pl?tano de paseo,1.0,2022-07-31
Pl?tano de paseo,3.0,2022-08-01
Pl?tano de paseo,1.0,2022-08-02
Pl?tano de paseo,7.0,2022-08-03
Pl?tano de paseo,,2022-08-04
Pl?tano de paseo,,2022-08-05
Pl?tano de paseo,,2022-08-06
Pl?tano de paseo,,2022-08-07
Pl?tano de paseo,,2022-08-08
Pl?tano de paseo,1.0,2022-08-09
Pl?tano de paseo,1.0,2022-08-10
Pl?tano de paseo,0.0,2022-08-11
Pl?tano de paseo,0.0,2022-08-12
Pl?tano de paseo,3.0,2022-08-13
Pl?tano de paseo,3.0,2022-08-14
Pl?tano de paseo,2.0,2022-08-15
Pl?tano de paseo,,2022-08-16
Pl?tano de paseo,,2022-08-17
Pl?tano de paseo,,2022-08-18
Pl?tano de paseo,,2022-08-19
Pl?tano de paseo,,2022-08-20
